aelviae@gmail.com,AARON  ELVIA J,WATER RATE TAKER,911-270-2704,GN484A,Master
ajefferye@gmail.com,AARON JEFFERY M,POLICE OFFICER,495-508-0168,QI544T,Guest
akimberleie@gmail.com,AARON KIMBERLEI R,CHIEF CONTRACT EXPEDITER,644-358-4504,VU580R,Product Manger
avicentee@gmail.com,ABAD JR VICENTE M,CIVIL ENGINEER IV,823-122-3913,FT200D,Master
aroberte@gmail.com,ABBATACOLA ROBERT J,ELECTRICAL MECHANIC,489-469-8322,NR111R,Guest
aterrye@gmail.com,ABBATE TERRY M,POLICE OFFICER,344-582-0409,XM729X,Product Manger
ajamese@gmail.com,ABBATEMARCO JAMES J,FIREFIGHTER,581-962-0748,PM907Y,Master
abettye@gmail.com,ABBOTT BETTY L,FOSTER GRANDPARENT,268-718-2176,WV525J,Guest
alynisee@gmail.com,ABBOTT LYNISE M,CLERK III,395-966-7180,QE152Y,Product Manger
asame@gmail.com,ABBOTT SAM J,ELECTRICAL MECHANIC,376-135-6867,WF116J,Master
aabdalmahd@gmail.com,ABDELHADI ABDALMAHD,POLICE OFFICER,904-673-3903,SB618E,Guest
aarefe@gmail.com,ABDELLATIF AREF R,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,776-913-7285,VR232B,Product Manger
aaziz@gmail.com,ABDELMAJEID AZIZ,POLICE OFFICER,741-436-7641,HA376R,Master
aali@gmail.com,ABDOLLAHZADEH ALI,PARAMEDIC,377-906-7875,JQ787W,Guest
amuhammade@gmail.com,ABDUL-KARIM MUHAMMAD A,ENGINEERING TECHNICIAN V,181-408-6862,FW511I,Product Manger
akevin@gmail.com,ABDULLAH KEVIN,FIREFIGHTER,949-481-1437,RF984D,Master
alakenyae@gmail.com,ABDULLAH LAKENYA N,CROSSING GUARD,621-502-1877,UH134H,Guest
amoulaye@gmail.com,ABDULLAH MOULAY R,POLICE OFFICER,175-214-9815,JU815H,Product Manger
arashade@gmail.com,ABDULLAH RASHAD J,ELECTRICAL MECHANIC-AUTO-POLICE MTR MNT,247-729-4187,WQ431J,Master
ajasone@gmail.com,ABEJERO JASON V,POLICE OFFICER,362-616-3553,UC750H,Guest
arestitutoe@gmail.com,ABEJERO RESTITUTO E,POLICE OFFICER,701-622-9129,WN431H,Product Manger
akennethe@gmail.com,ABELS KENNETH L,SERGEANT,325-483-7920,EC834S,Master
atimothy@gmail.com,ABERCROMBIE TIMOTHY,MOTOR TRUCK DRIVER,338-912-2370,WM652X,Guest
aewarte@gmail.com,ABNER III EWART G,LABORER (BUREAU OF ELECTRICITY),957-917-2313,GM217M,Product Manger
ahassane@gmail.com,ABOUELKHEIR HASSAN A,SENIOR PROGRAMMER/ANALYST,675-311-1826,MD328U,Master
adalinae@gmail.com,ABRAHAM DALINA D,COORD OF COMMUNITY SERVICES,571-514-7679,RM625K,Guest
agirleye@gmail.com,ABRAHAM GIRLEY T,CIVIL ENGINEER IV,136-663-6884,TD196A,Product Manger
